city,kill_sum,severity_score
mohammad agha district,17.0,18.0
joy-e-afghan,17.0,18.0
baghlani jadid district,17.0,18.0
chimpinchariato,16.0,17.0
jurm district,16.0,17.0
momand tangi,16.0,17.0
bulongo,16.0,17.0
camp 15,16.0,17.0
warduj district,16.0,17.0
utange,16.0,17.0
lubumbashi,16.0,17.0
arghandab district,16.0,17.0
pashtun kot district,16.0,17.0
timatene,16.0,17.0
tidjalalene,16.0,17.0
agando,16.0,17.0
darwaz district,16.0,17.0
arzo,16.0,17.0
gorguel,15.0,16.0
kharestan,15.0,16.0
sukhnah,15.0,16.0
ab kamari district,15.0,16.0
adjarara,15.0,16.0
intousa,15.0,16.0
dashti archi district,15.0,16.0
metekel,15.0,16.0
kinyanjojo,15.0,16.0
amuru,15.0,16.0
sari pul,15.0,16.0
tara,15.0,16.0
samboko chani-chani,15.0,16.0
sirwah,14.0,15.0
manzobe,14.0,15.0
bati kot district,14.0,15.0
naung mon,14.0,15.0
tadaryat,14.0,15.0
katha district,14.0,15.0
koshki kohna district,14.0,15.0
sholgara district,14.0,15.0
dikwa,14.0,15.0
pashtun zarghun district,14.0,15.0
feroz koh,14.0,15.0
marte,14.0,15.0
maydan shahr,14.0,15.0
bula yobe,14.0,15.0
dih yak district,14.0,15.0
shahrak,13.0,14.0
guzargahi nur district,13.0,14.0
diafarabe,13.0,14.0
daquq district,13.0,14.0
salamiyah,13.0,14.0
moebyel,13.0,14.0
chimtal district,13.0,14.0
tungar-rogo,13.0,14.0
ghazi baba,13.0,14.0
orta buz,13.0,14.0
maiduma,13.0,14.0
tagab district,13.0,14.0
tondikiwidi,13.0,14.0
kona,13.0,14.0
garzagana,13.0,14.0
kwaghaondo,13.0,14.0
gana,13.0,14.0
saydabad district,13.0,14.0
babban-baye,13.0,14.0
tagab robat,12.0,13.0
kurha,12.0,13.0
hafizan,12.0,13.0
takum district,12.0,13.0
kpav,12.0,13.0
aaq gonbad,12.0,13.0
kushe,12.0,13.0
shari,12.0,13.0
koumbri,12.0,13.0
bardi,12.0,13.0
kamaru,12.0,13.0
orlu,12.0,13.0
beni,12.0,13.0
mardyan district,12.0,13.0
ahwar,12.0,13.0
mabule,12.0,13.0
aks-e-dawood,12.0,13.0
makin,12.0,13.0
zhari district,12.0,13.0
mbagena,12.0,13.0
quetta,12.0,13.0
qala-e-rostam,12.0,13.0
gadri,12.0,13.0
yaduda,12.0,13.0
shinwari district,12.0,13.0
sar asyab,12.0,13.0
hosayn knt,12.0,13.0
nawabad,12.0,13.0
bala buluk district,12.0,13.0
sayadbad district,12.0,13.0
dahana-i-ghuri district,12.0,13.0
gaskinde,12.0,13.0
sayyad district,12.0,13.0
kwali,12.0,13.0
deynunay,12.0,13.0
marabo,11.0,12.0
bayamari,11.0,12.0
agharangabo,11.0,12.0
talawka,11.0,12.0
wach kot,11.0,12.0
makhmalkocha,11.0,12.0
khwaja umari district,11.0,12.0
basharan,11.0,12.0
kisima,11.0,12.0
chaklank,11.0,12.0
juma bazaar,11.0,12.0
qudosabad,11.0,12.0
haima,11.0,12.0
mogangu,11.0,12.0
lab-e-nahr,11.0,12.0
shabelle district,11.0,12.0
al-hawl,11.0,12.0
chaman,11.0,12.0
gaida kaso,11.0,12.0
namphetka,11.0,12.0
namak ab district,11.0,12.0
jalrez district,11.0,12.0
bagh-e-pahlawan,11.0,12.0
torghundi,11.0,12.0
kopre,11.0,12.0
pindal goath,11.0,12.0
diffa,11.0,12.0
deh lahor,11.0,12.0
gardez,11.0,12.0
dawlatabad district,11.0,12.0
kasusu,10.0,11.0
raghwan,10.0,11.0
yatakou,10.0,11.0
kwamdi,10.0,11.0
quiwiya,10.0,11.0
darqad district,10.0,11.0
dashti qala,10.0,11.0
pekha,10.0,11.0
kun taung,10.0,11.0
chahar dara district,10.0,11.0
siguidi,10.0,11.0
chino,10.0,11.0
kitovirwa,10.0,11.0
libokora,10.0,11.0
jawand district,10.0,11.0
sheikh jalal,10.0,11.0
senjetak,10.0,11.0
djugu district,10.0,11.0
thi mu hta,10.0,11.0
markoye,10.0,11.0
tchanitchani,10.0,11.0
chakaran,10.0,11.0
qabristan,10.0,11.0
tatang,10.0,11.0
loya godane,10.0,11.0
mamand,10.0,11.0
ajimaka,10.0,11.0
mosa khail district,10.0,11.0
aabkhora,10.0,11.0
umuahia north district,10.0,11.0
harbu,10.0,11.0
spina khawara,10.0,11.0
muar,10.0,11.0
burka district,10.0,11.0
safdar khan,9.0,10.0
seh joy,9.0,10.0
halili,9.0,10.0
chah ab district,9.0,10.0
tehsile,9.0,10.0
quebradon sur,9.0,10.0
chaila,9.0,10.0
raga ceel,9.0,10.0
ghoryan,9.0,10.0
indianapolis,9.0,10.0
bagh-e-shirkat,9.0,10.0
bolah kowul,9.0,10.0
pir ismail ziarat,9.0,10.0
baidoa,9.0,10.0
hesarak,9.0,10.0
salawat,9.0,10.0
ukpomachi,9.0,10.0
sheko,9.0,10.0
shibirghan,9.0,10.0
dabanga,9.0,10.0
tanwalbougou,9.0,10.0
kale district,9.0,10.0
palsegue,9.0,10.0
hisa-i-awali bihsud district,9.0,10.0
barakhanah,9.0,10.0
nahrin district,9.0,10.0
walyan,9.0,10.0
keshem district,9.0,10.0
wadi al azeeb,9.0,10.0
bushran,9.0,10.0
ali khail district,9.0,10.0
majzar district,9.0,10.0
mahmud raqi,9.0,10.0
mutuweyi,9.0,10.0
jar-e khushk,9.0,10.0
mahala,8.0,9.0
roiba,8.0,9.0
adi mesno,8.0,9.0
shariah shamaliyah,8.0,9.0
tse-ancha,8.0,9.0
bost,8.0,9.0
dhusamareb,8.0,9.0
kuru,8.0,9.0
aunguan guida,8.0,9.0
guzara district,8.0,9.0
babire,8.0,9.0
shahada district,8.0,9.0
bosaso,8.0,9.0
darga,8.0,9.0
golweyn,8.0,9.0
masjid choobi,8.0,9.0
mira khor,8.0,9.0
qaramqol district,8.0,9.0
waghaz district,8.0,9.0
fabrica qand,8.0,9.0
hasan karez,8.0,9.0
ahmad shah baba mina,8.0,9.0
srinagar,8.0,9.0
kamaan zamin,8.0,9.0
nyamitwitwi,8.0,9.0
al-boudur,8.0,9.0
muhajir,8.0,9.0
hawz madad,8.0,9.0
mansila,8.0,9.0
qala kah district,8.0,9.0
balkh district,8.0,9.0
sari raig,8.0,9.0
dahan dara,8.0,9.0
ikwerre district,8.0,9.0
sharsharak,8.0,9.0
la capilla,8.0,9.0
hudaydah,8.0,9.0
shindand district,8.0,9.0
hussainkhel,8.0,9.0
bar gor tapa,8.0,9.0
qainar,8.0,9.0
andar district,8.0,9.0
apende,8.0,9.0
chehel dokhtaran,8.0,9.0
damara,8.0,9.0
doonka,8.0,9.0
ceel dheere,8.0,9.0
owerri,8.0,9.0
darwazbala district,7.0,8.0
nijrab district,7.0,8.0
tokombere,7.0,8.0
al-maysara,7.0,8.0
dara-i-sufi bala district,7.0,8.0
tominian,7.0,8.0
demoso,7.0,8.0
shakardara district,7.0,8.0
kuda,7.0,8.0
naw abad,7.0,8.0
gurziwan district,7.0,8.0
shahil,7.0,8.0
al-madham,7.0,8.0
al-kadaha,7.0,8.0
zinjibar,7.0,8.0
zargarha,7.0,8.0
ras al-ain,7.0,8.0
boulikessi,7.0,8.0
boyo,7.0,8.0
borena district,7.0,8.0
gereida,7.0,8.0
dashti qala district,7.0,8.0
payan shahr,7.0,8.0
imam sahib,7.0,8.0
kogolbaraogo,7.0,8.0
shamshapur mar ghondi,7.0,8.0
fayda ibn muwayna,7.0,8.0
garua,7.0,8.0
arghandi,7.0,8.0
jashma bangi,7.0,8.0
hisarak district,7.0,8.0
bannu,7.0,8.0
jigalta,7.0,8.0
saidah,7.0,8.0
tchele,7.0,8.0
panja chinar,7.0,8.0
dumagmang,7.0,8.0
shahrak district,7.0,8.0
markurdi,7.0,8.0
muthotholi,7.0,8.0
nyaunglebin,7.0,8.0
kakarak,7.0,8.0
khogi ghakhe,7.0,8.0
yawgul dara,7.0,8.0
charikar,7.0,8.0
ebem,7.0,8.0
sopore,7.0,8.0
south waziristan district,7.0,8.0
surkh rod district,7.0,8.0
fantio,7.0,8.0
ourfare,7.0,8.0
alindao,7.0,8.0
al-sojna,7.0,8.0
mainok,7.0,8.0
bergen,7.0,8.0
kharistan,7.0,8.0
mahaday,7.0,8.0
waraou,7.0,8.0
oicha,7.0,8.0
mbamondu,7.0,8.0
zawa,7.0,8.0
abdulgan,7.0,8.0
zibane-koira zeno,6.0,7.0
gorgadji,6.0,7.0
al-bab,6.0,7.0
garmsir district,6.0,7.0
mambelenga,6.0,7.0
birnin-tudu,6.0,7.0
wereng,6.0,7.0
gabado,6.0,7.0
quitunda,6.0,7.0
makurdi,6.0,7.0
wajid,6.0,7.0
malibo,6.0,7.0
loumbila,6.0,7.0
anarjoi,6.0,7.0
anyom,6.0,7.0
dinangourou,6.0,7.0
douentza,6.0,7.0
tse-jimin,6.0,7.0
kyaninga,6.0,7.0
lafoole,6.0,7.0
talbakoira,6.0,7.0
islamabad,6.0,7.0
kumshe,6.0,7.0
azaz,6.0,7.0
ndigwe,6.0,7.0
nawruz khel,6.0,7.0
jabin,6.0,7.0
danchu kebelle,6.0,7.0
baharak district,6.0,7.0
pashiman darea,6.0,7.0
kohsan district,6.0,7.0
dablo,6.0,7.0
parao,6.0,7.0
killingwa,6.0,7.0
shonga,6.0,7.0
janat bagh,6.0,7.0
jiba,6.0,7.0
khanabad,6.0,7.0
odoro ikpe,6.0,7.0
tamu,6.0,7.0
kinda,6.0,7.0
pan thar,6.0,7.0
chashma sher,6.0,7.0
kinyatsi,6.0,7.0
chambus kol,6.0,7.0
khwaja ghar district,6.0,7.0
oba,6.0,7.0
barghuli,6.0,7.0
adraskan district,6.0,7.0
gom,6.0,7.0
matazem,6.0,7.0
abaiji,5.0,6.0
mayimoya,5.0,6.0
miyan-dujouee,5.0,6.0
guangzhou,5.0,6.0
misisi,5.0,6.0
ozubulu,5.0,6.0
kambo,5.0,6.0
mamand dara,5.0,6.0
mandalay,5.0,6.0
chambimbal,5.0,6.0
sofokel,5.0,6.0
tarale kando,5.0,6.0
surobi district,5.0,6.0
obegu,5.0,6.0
bulobarde,5.0,6.0
kalemba,5.0,6.0
chahar gul,5.0,6.0
mighende,5.0,6.0
michalgho,5.0,6.0
mindat,5.0,6.0
gor tepa,5.0,6.0
tarmiyah,5.0,6.0
kasuwan magani,5.0,6.0
kanbila,5.0,6.0
bougouni,5.0,6.0
tajikan,5.0,6.0
beni district,5.0,6.0
tangi abreshum,5.0,6.0
sozma qala district,5.0,6.0
tandoori,5.0,6.0
jar quduq,5.0,6.0
shinkay district,5.0,6.0
jani khel,5.0,6.0
bama khel,5.0,6.0
bakhmal kocha,5.0,6.0
jayzani,5.0,6.0
jazrat al-milaj,5.0,6.0
feroz nakhchir district,5.0,6.0
hajda kotal,5.0,6.0
bangassou,5.0,6.0
chinarak,5.0,6.0
sada,5.0,6.0
gach garez,5.0,6.0
pangane,5.0,6.0
bandiba,5.0,6.0
chawni,5.0,6.0
barawul payam,5.0,6.0
nowshera district,5.0,6.0
nurzai,5.0,6.0
chahar burjah,5.0,6.0
al-maziq,5.0,6.0
sabar,5.0,6.0
rutbah district,5.0,6.0
sai azad,5.0,6.0
shindand,5.0,6.0
sumalebu,5.0,6.0
azlik,5.0,6.0
arellano buenavista,5.0,6.0
musa abad,5.0,6.0
oropoma,5.0,6.0
tala wa barfak district,5.0,6.0
orieagu,5.0,6.0
naft khanah,5.0,6.0
lassin,5.0,6.0
argahandab district,5.0,6.0
landi kotal,5.0,6.0
oueid khenig-roum,5.0,6.0
bezaa,5.0,6.0
bihsud district,5.0,6.0
la sierra,5.0,6.0
di,5.0,6.0
dialloube,5.0,6.0
pul-e-khishti,5.0,6.0
shafa,5.0,6.0
naltar,5.0,6.0
dorahi,5.0,6.0
zongo-akiki,5.0,6.0
riyadh,5.0,6.0
ahmad abad,5.0,6.0
zakhel,5.0,6.0
maywand district,5.0,6.0
narayanpur district,5.0,6.0
arhab district,5.0,6.0
ashpushta,5.0,6.0
pundanhar,5.0,6.0
darayim,5.0,6.0
deh surkh,5.0,6.0
at tuhayta,5.0,6.0
lowereng,5.0,6.0
bahatsha,5.0,6.0
jalawla,5.0,6.0
kukutama,5.0,6.0
darqad,5.0,6.0
shahri buzurg district,5.0,6.0
shahrag,5.0,6.0
kwada kwamtah yahi,5.0,6.0
darayim district,5.0,6.0
udam,5.0,6.0
ishkamish district,5.0,6.0
santander de quilichao,5.0,6.0
ugbolu,5.0,6.0
pera khel,5.0,6.0
mullah khel,5.0,6.0
iwollo oghe,5.0,6.0
kilia,5.0,6.0
kohna kaldar,5.0,6.0
bala hesar,5.0,6.0
tijime,5.0,6.0
ukuse,5.0,6.0
salihan,5.0,6.0
alishang,5.0,6.0
umuhuali,5.0,6.0
hawak district,5.0,6.0
daman district,5.0,6.0
al-jadaan,4.0,5.0
yakh sah,4.0,5.0
soof karez,4.0,5.0
al-shainah,4.0,5.0
monguno,4.0,5.0
shir khan bandar,4.0,5.0
shirin tagab,4.0,5.0
shor tepa district,4.0,5.0
bak district,4.0,5.0
band-e-qashqah,4.0,5.0
banah,4.0,5.0
bakhshaka,4.0,5.0
sai buri district,4.0,5.0
quionga,4.0,5.0
hakha,4.0,5.0
odokem,4.0,5.0
busayrah,4.0,5.0
omuo-ekiti,4.0,5.0
omuma,4.0,5.0
charkh ab,4.0,5.0
joyee begum,4.0,5.0
sirahi hofian,4.0,5.0
gur,4.0,5.0
gwer west district,4.0,5.0
rustaq district,4.0,5.0
shwebo district,4.0,5.0
shumy,4.0,5.0
bangu,4.0,5.0
chishti sharif,4.0,5.0
chora district,4.0,5.0
chishti sharif district,4.0,5.0
bandiagara,4.0,5.0
bandigara,4.0,5.0
ganji,4.0,5.0
gabada,4.0,5.0
rumuji,4.0,5.0
al-rai,4.0,5.0
obakota,4.0,5.0
pagatin,4.0,5.0
kalemago,4.0,5.0
kamana,4.0,5.0
calabar,4.0,5.0
butembo,4.0,5.0
mirzakah,4.0,5.0
manzakai,4.0,5.0
afmadow,4.0,5.0
miyende,4.0,5.0
yawan district,4.0,5.0
galkayo,4.0,5.0
rudha gaz,4.0,5.0
ruaikha,4.0,5.0
gorey,4.0,5.0
biyo adde,4.0,5.0
joy-e ghazi,4.0,5.0
tani district,4.0,5.0
kabsh gharbi,4.0,5.0
rashad,4.0,5.0
mapili,4.0,5.0
paghman district,4.0,5.0
kahan,4.0,5.0
jowhar,4.0,5.0
ngagam,4.0,5.0
baharak,4.0,5.0
jalingo,4.0,5.0
ekile,4.0,5.0
amazu,4.0,5.0
nkalaha,4.0,5.0
awka,4.0,5.0
nduobasi,4.0,5.0
trinidad,4.0,5.0
shahbaz khel,4.0,5.0
arab koy,4.0,5.0
turbat,4.0,5.0
huarcatan,4.0,5.0
bukiringi,4.0,5.0
ubakala,4.0,5.0
jabal murad district,4.0,5.0
kukal dash,4.0,5.0
babar,4.0,5.0
ekpufu,4.0,5.0
sangaan,4.0,5.0
london,4.0,5.0
loma larga,4.0,5.0
shakh-e-mazar,4.0,5.0
izombe,4.0,5.0
helope,4.0,5.0
kitango,4.0,5.0
faje,4.0,5.0
nkalagu,4.0,5.0
dara-e-kian,4.0,5.0
luneke,4.0,5.0
anbar,4.0,5.0
andkhoy district,4.0,5.0
umuaka,4.0,5.0
ngaka,4.0,5.0
kotal e shiniya,4.0,5.0
oicha-maleki,4.0,5.0
khak chopan,4.0,5.0
khamshur,4.0,5.0
dih bala district,4.0,5.0
imande akpu,4.0,5.0
ash sholah,4.0,5.0
pule-kibaly,4.0,5.0
pusht rod district,4.0,5.0
oro mourou,4.0,5.0
sarchakan,4.0,5.0
dune,4.0,5.0
bingki,4.0,5.0
idiyan,4.0,5.0
dilaram,4.0,5.0
ilaga,4.0,5.0
ibrahim khil,4.0,5.0
ignacio jurado,4.0,5.0
ataloga,4.0,5.0
atlanta,4.0,5.0
zartalai,4.0,5.0
ipi,4.0,5.0
ijoun,4.0,5.0
djamnati,4.0,5.0
ghobar areq,4.0,5.0
yaq-bimo,4.0,5.0
agu center,4.0,5.0
zarkah,4.0,5.0
aden,4.0,5.0
mangundu,4.0,5.0
zargar tara,4.0,5.0
onyadama,4.0,5.0
mekelle,4.0,5.0
zirshe,4.0,5.0
acworth,4.0,5.0
abua,4.0,5.0
gouzoudou,3.0,4.0
abobo,3.0,4.0
mbujimayi,3.0,4.0
zargwra,3.0,4.0
kebe,3.0,4.0
matanga,3.0,4.0
wosh zawara,3.0,4.0
marraban jos,3.0,4.0
rabat,3.0,4.0
rafin kada,3.0,4.0
raghistan district,3.0,4.0
ghorband district,3.0,4.0
rogola,3.0,4.0
gorgoray,3.0,4.0
najd qurayn,3.0,4.0
doab,3.0,4.0
sarwari,3.0,4.0
dogon gawa,3.0,4.0
igbooro,3.0,4.0
arvada,3.0,4.0
lahore,3.0,4.0
dena,3.0,4.0
piron,3.0,4.0
tse nyarei,3.0,4.0
nadir shah kot district,3.0,4.0
arghistan,3.0,4.0
tsoro,3.0,4.0
lawan-mainari,3.0,4.0
lawaypora,3.0,4.0
puli khumri district,3.0,4.0
kapoka,3.0,4.0
bialong,3.0,4.0
khaisorah,3.0,4.0
assa,3.0,4.0
deh rahwod district,3.0,4.0
awkuzu,3.0,4.0
isuofia,3.0,4.0
dhuluiya,3.0,4.0
hudur,3.0,4.0
hombori,3.0,4.0
hoyohatu,3.0,4.0
daquq,3.0,4.0
jabibar,3.0,4.0
kor dara,3.0,4.0
bagourou,3.0,4.0
babaji,3.0,4.0
bagrami district,3.0,4.0
deh qazi,3.0,4.0
pashdan,3.0,4.0
jaghatu district,3.0,4.0
tin akoff,3.0,4.0
kormatto,3.0,4.0
kotal qala,3.0,4.0
kotchari,3.0,4.0
ngumari,3.0,4.0
amudu,3.0,4.0
lopa,3.0,4.0
lukaya,3.0,4.0
magumeri,3.0,4.0
umuokwe,3.0,4.0
alon shvut,3.0,4.0
urum,3.0,4.0
ukum district,3.0,4.0
elimgbu,3.0,4.0
dyom,3.0,4.0
hari pari gam,3.0,4.0
maine soroa,3.0,4.0
mpophomeni,3.0,4.0
mudiyah,3.0,4.0
essoh attah,3.0,4.0
ezza south district,3.0,4.0
sambangu,3.0,4.0
samboko,3.0,4.0
dadiwala,3.0,4.0
thanatgone,3.0,4.0
kompienga district,3.0,4.0
nkedorong,3.0,4.0
noh burjah,3.0,4.0
tessalit,3.0,4.0
dar qad neyazullah kalay,3.0,4.0
shamlan,3.0,4.0
san rafael,3.0,4.0
falouja,3.0,4.0
alangai,3.0,4.0
wadi al-safa,3.0,4.0
wadia,3.0,4.0
alaqadari-i-almar,3.0,4.0
war maxan,3.0,4.0
washington,3.0,4.0
wassakore,3.0,4.0
mondoro,3.0,4.0
makeke,3.0,4.0
makisabo,3.0,4.0
malakal,3.0,4.0
sholgara,3.0,4.0
jarabulus,3.0,4.0
band-e-bain,3.0,4.0
kisumu,3.0,4.0
omarzai,3.0,4.0
tamboral,3.0,4.0
khanaqin district,3.0,4.0
ouzal,3.0,4.0
quirinde,3.0,4.0
gala tut,3.0,4.0
sabga,3.0,4.0
molai,3.0,4.0
west shewa district,3.0,4.0
winthrop,3.0,4.0
bani saad,3.0,4.0
banisa,3.0,4.0
tehini,3.0,4.0
chukchuk,3.0,4.0
chamkani district,3.0,4.0
chamtala,3.0,4.0
tashkan district,3.0,4.0
banquerohan,3.0,4.0
kirkuk,3.0,4.0
kishosho,3.0,4.0
nsukwa,3.0,4.0
silger,3.0,4.0
garas balley,3.0,4.0
ruhaina,3.0,4.0
rumirgo,3.0,4.0
wurzburg,3.0,4.0
yaftal sufla district,3.0,4.0
yakila,3.0,4.0
sirki kuch,3.0,4.0
barwati,3.0,4.0
taraki-ha,3.0,4.0
khash district,3.0,4.0
kafolo,3.0,4.0
kahda,3.0,4.0
takhsab,3.0,4.0
kandahar district,3.0,4.0
kanju,3.0,4.0
kanker district,3.0,4.0
kanyamahoro,3.0,4.0
bosso,3.0,4.0
bla-goussi tourou,3.0,4.0
swabi,3.0,4.0
budi district,3.0,4.0
yangi qala district,3.0,4.0
bunia,3.0,4.0
pailitas,3.0,4.0
kalalangwe,3.0,4.0
baure,3.0,4.0
bazarak,3.0,4.0
obe,3.0,4.0
kaliari-nguetchewe,3.0,4.0
chahar qala,3.0,4.0
rowza,3.0,4.0
godam,3.0,4.0
gereshk,3.0,4.0
kamuya,3.0,4.0
gazah,3.0,4.0
gujba,3.0,4.0
al-bu bakr,3.0,4.0
mitope,3.0,4.0
abraka,3.0,4.0
abi adi,3.0,4.0
masana,3.0,4.0
afaat center,3.0,4.0
abazano,2.0,3.0
maymana,2.0,3.0
mashkai,2.0,3.0
masisi district,2.0,3.0
miango,2.0,3.0
mihtarlam,2.0,3.0
milampilli,2.0,3.0
min nay kone,2.0,3.0
mir bacha kot district,2.0,3.0
maqbanah,2.0,3.0
marjah,2.0,3.0
ramadi,2.0,3.0
riyom district,2.0,3.0
ghazali,2.0,3.0
rambouillet,2.0,3.0
ain issa,2.0,3.0
akashat,2.0,3.0
akbar bai,2.0,3.0
yitzhar,2.0,3.0
yoruba,2.0,3.0
yao-yao,2.0,3.0
al-aith,2.0,3.0
quneitra,2.0,3.0
garin gada,2.0,3.0
guchhaguda,2.0,3.0
yabatalou,2.0,3.0
al-jalisiya,2.0,3.0
manga,2.0,3.0
wedow,2.0,3.0
wibora,2.0,3.0
witoke,2.0,3.0
al-mosafer,2.0,3.0
al-mushbah,2.0,3.0
al-shadadi,2.0,3.0
makassar,2.0,3.0
alagano,2.0,3.0
alamkhel,2.0,3.0
wana,2.0,3.0
valera,2.0,3.0
alasay district,2.0,3.0
halwan,2.0,3.0
qoqaye,2.0,3.0
qotar blaq,2.0,3.0
folad,2.0,3.0
saberi district,2.0,3.0
ganz,2.0,3.0
rutbah,2.0,3.0
ruyi du ab district,2.0,3.0
rwamisave,2.0,3.0
ali al-sharqi,2.0,3.0
alika,2.0,3.0
mopti district,2.0,3.0
moshav ohad,2.0,3.0
mount hamrin,2.0,3.0
qara parchaw,2.0,3.0
qarqach,2.0,3.0
sahidan,2.0,3.0
fallujah,2.0,3.0
mulayan,2.0,3.0
unguwan madaki,2.0,3.0
aloja,2.0,3.0
aluakluak,2.0,3.0
amarah,2.0,3.0
ukana ikot ntuen,2.0,3.0
anas,2.0,3.0
umu-ugadu,2.0,3.0
mullahkhil,2.0,3.0
muqdadiyah,2.0,3.0
muqdadiyah district,2.0,3.0
muqur,2.0,3.0
antongalon,2.0,3.0
appi,2.0,3.0
udei,2.0,3.0
ugboke,2.0,3.0
ugbuodo,2.0,3.0
dyudei,2.0,3.0
eduardo mondlane,2.0,3.0
hasakah,2.0,3.0
salem,2.0,3.0
muzayrib,2.0,3.0
layegh,2.0,3.0
lambakin,2.0,3.0
ashkelon,2.0,3.0
tse zoola,2.0,3.0
san salvador,2.0,3.0
san vicente,2.0,3.0
el faki ahmed zakariya,2.0,3.0
el ripial,2.0,3.0
encho,2.0,3.0
tse-iber,2.0,3.0
nad ali district,2.0,3.0
labbezenga,2.0,3.0
lal wa sarjangal district,2.0,3.0
laman,2.0,3.0
namkhan,2.0,3.0
nana kenieba,2.0,3.0
kyiywa,2.0,3.0
nasiriha,2.0,3.0
nawa district,2.0,3.0
tormay,2.0,3.0
tourou,2.0,3.0
travesias,2.0,3.0
ekondo titi,2.0,3.0
sang aab,2.0,3.0
sango,2.0,3.0
santo tomas jalieza,2.0,3.0
nawa-i-barakzayi district,2.0,3.0
nawah,2.0,3.0
kushk district,2.0,3.0
kumbo,2.0,3.0
babonga,2.0,3.0
babuzai,2.0,3.0
bachidubi,2.0,3.0
aveyi,2.0,3.0
ayethaya,2.0,3.0
kunming,2.0,3.0
nawur district,2.0,3.0
nazate,2.0,3.0
nazyan district,2.0,3.0
pul-e-matak,2.0,3.0
dwa toi,2.0,3.0
